material_id,mean_AtomicWeight,mean_CovalentRadius,mean_Electronegativity,mean_MeltingT,mean_Row,mean_Column,mean_NsValence,mean_NpValence,mean_NdValence,range_CovalentRadius,range_Electronegativity,avgdev_Electronegativity,formation_energy_per_atom
ZnFe2O4,34.4382,92.8571,2.7243,647.6971,2.8571,13.1429,2.0,2.2857,3.1429,66.0,1.79,0.818,-1.788
SnS2,60.9467,116.3333,2.3733,427.2667,3.6667,15.3333,2.0,3.3333,3.3333,34.0,0.62,0.2756,-0.632
LaNiO3,49.1194,105.8,2.666,617.08,3.2,12.2,2.0,2.4,1.8,141.0,2.34,0.9288,-1.979
CsPbI3,144.1638,161.4,2.22,412.55,5.4,13.2,1.8,3.4,8.0,105.0,1.87,0.572,-1.317
YF3,36.4753,90.25,3.29,489.875,2.75,13.5,2.0,3.75,0.25,133.0,2.76,1.035,-4.053
SrTiO3,36.697,110.6,2.562,631.08,3.0,10.8,2.0,2.4,0.4,129.0,2.49,1.0536,-3.552
YNi5,63.7288,135.0,1.795,1739.8333,4.1667,8.8333,2.0,0.0,6.8333,66.0,0.69,0.1917,-0.373
PbSe,143.08,133.0,2.44,547.305,5.0,15.0,2.0,3.0,10.0,26.0,0.22,0.11,-0.499
Mg3N2,20.1857,113.0,2.002,579.02,2.6,7.2,2.0,1.2,0.0,70.0,1.73,0.8304,-1.178
SrH2,29.8786,85.6667,1.7833,359.34,2.3333,1.3333,1.3333,0.0,0.0,164.0,1.25,0.5556,-1.024
In2O3,55.5268,96.4,2.776,204.78,3.2,14.8,2.0,2.8,4.0,76.0,1.66,0.7968,-1.729
CsI,129.905,191.5,1.725,344.22,5.5,9.0,1.5,2.5,5.0,105.0,1.87,0.935,-1.557
Ag2O,77.2453,118.6667,2.4333,841.5533,4.0,12.6667,1.3333,1.3333,6.6667,79.0,1.51,0.6711,-0.117
Fe2O3,31.9376,92.4,2.796,757.28,2.8,12.8,2.0,2.4,2.4,66.0,1.61,0.7728,-1.902
CsGeBr3,89.0515,144.8,2.336,462.078,4.4,13.2,1.8,3.4,8.0,124.0,2.17,0.7488,-1.566
NbN,53.4565,117.5,2.32,1406.525,3.5,10.0,1.5,1.5,2.0,93.0,1.44,0.72,-1.299
KI,83.0014,171.0,1.74,361.69,4.5,9.0,1.5,2.5,5.0,64.0,1.84,0.92,-1.534
CsBr,106.4047,182.0,1.875,283.695,5.0,9.0,1.5,2.5,5.0,124.0,2.17,1.085,-1.937
CoF2,32.31,80.0,3.28,625.0,2.6667,14.3333,2.0,3.3333,2.3333,69.0,2.1,0.9333,-2.202
LiMnO2,23.4695,99.75,2.3525,520.5725,2.5,10.0,1.75,2.0,1.25,73.0,2.46,1.0875,-2.327
LiCrO2,22.734,99.75,2.38,685.8225,2.5,9.75,1.5,2.0,1.25,73.0,2.46,1.06,-2.498
YFeO3,38.5498,104.0,2.674,754.88,3.0,11.8,2.0,2.4,1.4,124.0,2.22,0.9192,-2.782
ZrCu,77.385,153.5,1.615,1742.885,4.5,7.5,1.5,0.0,6.0,43.0,0.57,0.285,-0.18
KF,29.0484,130.0,2.4,195.015,3.0,9.0,1.5,2.5,0.0,146.0,3.16,1.58,-2.819
MgAl2O4,20.3237,92.4286,2.6129,429.8771,2.4286,13.1429,2.0,2.5714,0.0,75.0,2.13,0.9453,-3.531
SiC,20.0481,93.5,2.225,2755.0,2.5,14.0,2.0,2.0,0.0,35.0,0.65,0.325,-0.318
SnSe,98.835,129.5,2.255,499.54,4.5,15.0,2.0,3.0,10.0,19.0,0.59,0.295,-0.568
MnCl2,41.948,114.3333,2.6233,620.7333,3.3333,13.6667,2.0,3.3333,1.6667,37.0,1.61,0.7156,-1.935
CaZrO3,35.86,109.8,2.53,681.48,3.0,10.8,2.0,2.4,0.4,110.0,2.44,1.092,-3.692
Mn2O3,31.5749,95.2,2.684,640.48,2.8,12.4,2.0,2.4,2.0,73.0,1.89,0.9072,-2.167
FeF3,28.2101,75.75,3.4425,492.875,2.5,14.75,2.0,3.75,1.5,75.0,2.15,0.8062,-2.54
ZrS2,51.7847,128.3333,2.1633,968.24,3.6667,12.0,2.0,2.6667,0.6667,70.0,1.25,0.5556,-1.771
Na2S,26.0148,145.6667,1.48,376.7,3.0,6.0,1.3333,1.3333,0.0,61.0,1.65,0.7333,-1.162
MnF2,30.9783,84.3333,3.17,542.0,2.6667,13.6667,2.0,3.3333,1.6667,82.0,2.43,1.08,-2.815
PbF2,81.7323,86.6667,3.43,235.87,3.3333,16.0,2.0,4.0,3.3333,89.0,1.65,0.7333,-2.266
NbC,52.4585,120.0,2.075,3286.5,3.5,9.5,1.5,1.0,2.0,88.0,0.95,0.475,-0.763
